## Membership and Registration:
|**Requirements** | **Osman** | **Gökhan** | **Zahra** | **Sabri** |
|Users shall be able to only offer up to 10 services before they join other peoples’services. (could be parametric)|x||x||
||||||
|**Service Creation (offering and event) and Amendments**| **Osman** | **Gökhan** | **Zahra** | **Sabri** |
|Users can offer services to other signed community members by creating offerings in system.|x|x||x|
|Users can create recursive events for fixed times (i.e. for next 3 Sundays at 2:00 pm), each event should be seperate events.|x|x|x||
|Services categories' shall be created by the service category entries of members.|x|x|||
|- Services shall have a title.|x|x|||
|- Services shall have a location.|x|x|||
|- Services shall have a description.|x|x|||
|- Services shall have duration.|x|x|||
|- Duration of services shall be based on hours.|x|x|||
|- Services shall have content.|x|x|||
|- Services shall have a participation limit.|x|x|||
|Users will be able to edit their services||||x|
|Users will be able to delete their services||x||x|
|Users shall be able to customize deadline for cancelation on their offered services.|||x||
|Users shall lose credits for canceling the offered or taken service on a due date.|||x||
|Service offerer shall be able to set a deadline for requesting to join her/his offered activity.|||x||
|When a service is canceled by its owner, credits paid by the participant members shall be refunded to them.||x|||
|When a service is canceled by its owner, credits paid for the service to the owner shall be subtracted with the credit of service.||x|||
|Cancelled services shall be able to be seen on the timeline with the status canceled.||x|||
|Users can create social events as a non-credit activity.|x|x|x||
|- Events shall have a location.||x|||
|- Events shall have a title.||x|||
|- Events shall have a description.||x|||
|- Events shall have a start date.||x|||
|- Events shall have an end date.||x|||
|- Events shall have a weekly/monthly/yearly/one-time repetition term.||x|||
|- Events shall have participants.||x|||
|- Events shall have an optional participant limit.||x|||
|In order to dicipline participation for these non-credit activities, a deposit amount is deducted from your account when you apply the event, and it’s returned back after participation of event. Amount of this refundable credit shall be decided by organiser|x||x||
|Users shall not get any punishments for not showing up to the events.|||x||
||||||
|Events shall have a rate.||x|||
|Users shall be able to create events with time, location, duration and optionally number of people allowed.|||x||
|Services shall have a rate.||x|||
|Users shall be able to offer services together.|||x||
|Users can create an offering as a group-event, however, user doesn't get total time credits of all participants.|x||||
|Events shall have privacy options with options public/private.||x|||
|Events shall have an optional participant picking option.||x|||
||||||
|**Search**| **Osman** | **Gökhan** | **Zahra** | **Sabri** |
|Users can search and find services at platform by a keyword, the result shall consist of services, events, members related to the keyword.|x|x||x|
|The search function shall not work case sensitive.||||x|
|Users can filter the search result by providing filter areas like credits date etc.||||x|
|Users shall filter search results with type.||||x|
|Platform offers services according to availability of time credits after user searches events in system.|x||||
|Users shall be able to do add the services they need, to the platform in case no one is offering it, this way other users can get triggered and offer these services.||x|x||
|Services searched but not found by members shall be displayed on a board to whole members.||x|||
||||||
|**Profile Management and Friendship**| **Osman** | **Gökhan** | **Zahra** | **Sabri** |
|Members shall be able to follow each other.||x|||
|Members shall be able to see their following and follower members.||x|||
|Members shall have a page, on which their services are represented.||x||x|
|Members shall be able to see upcoming and past events.|||x||
|Members shall be able to see attendees of upcoming and past events.|||x||
|Members shall be able to see the services offered by their following friends.||x|x||
|Members shall be able to see the activities and events, taken by their following friends.|||x||
|Members shall be able to see the activities that might be interesting to them based on their profiles.|||x||
|Members shall have an option for not sharing their joint activities with others.|||x||
|Members shall be able to see services offered by new comers.|||x||
|Members shall be able to send messages to each other via the application.||x|||
|Members shall be able to send emails to each other via the application.||x|||
|Members shall be able to see each person’s and each activity’s reviews and rates.|||x||
|Users shall be able to exchange contact information after agreeing on a service.|||x||
||||||
|**Notification**| **Osman** | **Gökhan** | **Zahra** | **Sabri** |
|System should notifications when any transaction happens about user related features|x|x|x|x|
|Participant members of the event shall be notified when the event owner cancels the event.||x|||
|Members shall be notified of the upcoming events they participate in.||x|||
|Users shall get a ‘Notice me’ badge from the system, in case they had tried to get into multiple activities but no one had selected them so far.|||x||
||||||
|**Request and Assignment**| **Osman** | **Gökhan** | **Zahra** | **Sabri** |
|Users should apply for services. They can apply multiple times, however their application is limited according to their credits.|x||x||
|When users apply, their credit is blocked for the amount required for offering.|x||||
|There is an approval process for offering users. He/she checks applications and decide on user to get service.|x|x|x|x|
|Users can decline its service attendees||||x|
|If user is not selected for offering, his/her blocked credit is returned back to user.|x||||
|Appointments can be cancelled affecting reputation point.|x||||
|Users can list their service attendees||||x|
||||||
|**Handshaking**| **Osman** | **Gökhan** | **Zahra** | **Sabri** |
|After service occurs, users evaluate each other by rating and give comments on below affecting reputation points.|x|x|x||
|- punctuality of participation: ontime / late / cancel|x||||
|- content|x||||
|- personal views|x||||
|Members shall be able to vote for an event between scores 1 and 5.||x|||
|Reputation point of members shall be the average rate of all services and events a member owns.||x|||
|Service offerer shall be able to receive the promised credits only after the activity, when she/he claims that service had been successfully offered on the promised conditions and service taker approves that service had been successfully received.|||x||
|Reputation scoring is based on whether service is taken/given. If a user doesn't follow a scheduled appointment, or cancel last minute, reputation score is decreased.|x||||
||||||
|Members shall be able to vote for events they attended.||x|||
|Members shall be able to vote for services they attended.||x|||
|Members shall be able to comment for services they receive.||x|||
|Voting for services members receive shall be optional.||x|||
|Voting for events members attend shall be optional.||x|||
|Commenting on services members receive shall be optional.||x|||
|Commenting on events members attend shall be optional.||x|||
||||||
|**Timeline Management**| **Osman** | **Gökhan** | **Zahra** | **Sabri** |
|Platform should have a timeline for users, so users can be updated on recent events, interested topics, and “New Comers” joining to system.|x|x|||
|Cancelled events shall be able to be seen on the timeline with the status canceled.||x|||
